iter	Passed	Remaining
176	1632	7591
177	1639	7569
178	1648	7561
179	1656	7545
180	1665	7535
181	1673	7520
182	1682	7512
183	1691	7503
184	1703	7506
185	1717	7516
186	1733	7538
187	1750	7558
188	1766	7581
189	1782	7598
190	1795	7604
191	1813	7631
192	1832	7662
193	1852	7694
194	1874	7740
195	1892	7764
196	1910	7787
197	1929	7813
198	1949	7845
199	1970	7880
200	1988	7903
201	2005	7924
202	2027	7959
203	2043	7973
204	2053	7963
205	2064	7957
206	2074	7947
207	2082	7931
208	2094	7928
209	2107	7929
210	2121	7931
211	2130	7917
212	2138	7899
213	2148	7890
214	2156	7873
215	2165	7858
216	2173	7842
217	2182	7829
218	2189	7807
219	2199	7799
220	2207	7781
221	2217	7769
222	2225	7753
223	2233	7736
224	2242	7722
225	2251	7709
226	2265	7715
227	2282	7726
228	2298	7737
229	2318	7762
230	2336	7778
231	2352	7787
232	2369	7799
233	2385	7808
234	2399	7810
235	2410	7804
236	2431	7827
237	2450	7844
238	2469	7863
239	2485	7870
240	2503	7883
241	2532	7930
242	2548	7940
243	2573	7973
244	2584	7964
245	2604	7984
246	2623	7998
247	2632	7982
248	2644	7974
249	2658	7976
250	2671	7972
251	2678	7949
252	2691	7947
253	2705	7947
254	2719	7945
255	2734	7947
256	2742	7927
257	2751	7912
258	2760	7897
259	2768	7879
260	2779	7868
261	2787	7852
262	2797	7837
263	2805	7822
264	2813	7803
265	2823	7790
266	2831	7774
267	2841	7762
268	2850	7746
269	2859	7731
270	2868	7716
271	2876	7699
272	2892	7703
273	2906	7700
274	2915	7686
275	2924	7672
276	2933	7655
277	2941	7639
278	2950	7625
279	2958	7607
280	2967	7593
281	2975	7575
282	2983	7558
283	2990	7538
284	2998	7521
285	3004	7500
286	3012	7484
287	3019	7463
288	3025	7442
289	3030	7420
290	3037	7400
291	3043	7378
292	3049	7357
293	3054	7335
294	3060	7314
295	3066	7292
296	3077	7283
297	3084	7266
298	3091	7247
299	3097	7227
300	3102	7205
301	3108	7185
302	3114	7165
303	3120	7144
304	3126	7124
305	3132	7104
306	3137	7083
307	3144	7064
308	3149	7042
309	3155	7024
310	3161	7003
311	3166	6982
312	3173	6965
313	3178	6944
314	3184	6924
315	3190	6904
316	3195	6884
317	3201	6866
318	3207	6847
319	3212	6827
320	3219	6809
321	3225	6790
322	3230	6771
323	3236	6753
324	3242	6734
325	3248	6716
326	3258	6707
327	3267	6694
328	3273	6676
329	3279	6657
330	3285	6639
331	3290	6621
332	3296	6602
333	3301	6583
334	3307	6566
335	3313	6549
336	3319	6530
337	3325	6512
338	3331	6495
339	3337	6479
340	3343	6460
341	3349	6443
342	3354	6426
343	3360	6408
344	3366	6391
345	3371	6373
346	3377	6356
347	3382	6338
348	3388	6320
349	3394	6303
350	3400	6287
351	3406	6270
352	3412	6254
353	3417	6237
354	3423	6219
355	3429	6203
356256	2055993	5943980
257	2065897	5941457
258	2072997	5930854
259	2080479	5921364
260	2089659	5916699
261	2097433	5908039
262	2104016	5896046
263	2111213	5885808
264	2117838	5874005
265	2124725	5862965
266	2130920	5850054
267	2138719	5841577
268	2146552	5833197
269	2154485	5825089
270	2161705	5815066
271	2168360	5803552
272	2175421	5793154
273	2181864	5781144
274	2188904	5770748
275	2196391	5761549
276	2203216	5750634
277	2210643	5741312
278	2219418	5735485
279	2226670	5725724
280	2235093	5718974
281	2241363	5706734
282	2247107	5693201
283	2254648	5684253
284	2261332	5673168
285	2268253	5662703
286	2276686	5656018
287	2283683	5645772
288	2290280	5634564
289	2296898	5623440
290	2302172	5609072
291	2308711	5597834
292	2317335	5591660
293	2328107	5590624
294	2338444	5588486
295	2346075	5579855
296	2353846	5571561
297	2360796	5561339
298	2369405	5555028
299	2377045	5546439
300	2387570	5544557
301	2396778	5539573
302	2403304	5528393
303	2411008	5519940
304	2417115	5507853
305	2422850	5494961
306	2428670	5482307
307	2434194	5469035
308	2440603	5457790
309	2447073	5446712
310	2452929	5434304
311	2458876	5422137
312	2466614	5413942
313	2472827	5402418
314	2478076	5388834
315	2484503	5377848
316	2491705	5368564
317	2498763	5358984
318	2505751	5349269
319	2511678	5337316
320	2518992	5328335
321	2526035	5318794
322	2532502	5308063
323	2539171	5297777
324	2545806	5287443
325	2551357	5274892
326	2557985	5264600
327	2564058	5253193
328	2570956	5243501
329	2577207	5232512
330	2584435	5223526
331	2591865	5214957
332	2598789	5205384
333	2605583	5195563
334	2611258	5183542
335	2619232	5176101
336	2625940	5166168
337	2634374	5159632
338	2640061	5147730
339	2646218	5136777
340	2652618	5126321
341	2659470	5116758
342	2667239	5108969
343	2674861	5100897
344	2682457	5092781
345	2690877	5086224
346	2698235	5077659
347	2705142	5068255
348	2711667	5058152
349	2718848	5049290
350	2725960	5040308
351	2732279	5029878
352	2738762	5019772
353	2745125	5009466
354	2751594	4999376
355	2758849	4990728
356	2767107	4983894
357	2773760	4974174
358	2779867	4963495
359	2785630	4952232
360	2791988	4942051
361	2797785	4930903
362	2805139	4922517
363	2811649	4912662
364	2817573	4901806
365	2823422	4890847
366	2829710	4880672
367	2835864	4870288
368	2842327	4860457
369	2849911	4852551
370	2856941	4843709
371	2863308	4833757
372	2871886	4827540
373	2878564	4818131
374	2884404	4807341
375	2892604	4800493
376	2899294	4791142
377	2906349	4782406
378	2914714	4775825
379	2921694	4766975
380	2928530	4757900
381	2939505	4755534
382	2949135	4750957
383	2959497	4747528
384	2966449	4738613
385	2972847	4728829
386	2979575	4719585
387	2985630	4709293
388	2995232	4704594
389	3003615	4697962
390	3010867	4689560
391	3018315	4681468
392	3025671	4673237
393	3032519	4664231
394	3038264	4653544
395	3044061	4642961
396	3050191	4632910
397	3056199	4622693
398	3062164	4612433
399	3067207	4600811
400	3072817	4590069
401	3077919	4578597
402	3084672	4569601
403	3090849	4559768
404	3098297	4551819
405	3104893	4542626
406	3111148	4532950
407	3120233	4527397
408	3126822	4518220
409	3135151	4511560
410	3141312	4501784
411	3147465	4492014
412	3154842	4484001
413	3163605	4477953
414	3170261	4468922
415	3177418	4460606
416	3184657	4452410
417	3191572	4443768
418	3200276	4437614
419	3206933	4428622
420	3214169	4420436
421	3221681	4412634
422	3229436	4405164
423	3236080	4396184
424	3243475	4388231
425	3249846	4378900
426	3256706	4370240
427	3264267	4362525
428	3271403	4354245
429	3276724	4343565
430	3285575	4337569
431	3291783	4328085
432	3298094	4318751
433	3303828	4308679
434	3310709	4300116
435	3317389	4291302
436	3323163	4281329
437	3328720	4271097
438	3334088	4260645
439	3339956	4250853
440	3345441	4240594
441	3350538	4229865
442	3356523	4220278
443	3362144	4210253
444	3367397	4199787
445	3373037	4189827
446	3378478	4179638
447	3383952	4169513
448	3389313	4159268
449	3394948	4149381
450	3399585	4138298
451	3405825	4129186
452	3411422	4119312
453	3416689	4109057
454	3423628	4100829
455	3429166	4090935
456	3434190	4080449
457	3439941	4070847
458	3446082	4061722
459	3451616	4051898
460	3457251	4042209
461	3464208	4034078
462	3470163	4024790
463	3475923	4015290
464	3482507	4006756
465	3489452	3998642
466	3495390	3989385
467	3503104	3982161
468	3509277	3973190
469	3515984	3964834
470	3522072	3955788
471	3527520	3946039
472	3533325	3936707
473	3539347	3927630
474	3545773	3919012
475	3553369	3911691
476	3559302	3902547
477	3566047	3894303
478	3572538	3885788
479	3578599	3876815
480	3584557	3867744
481	3590115	3858257
482	3595761	3848879
483	3601498	3839614
484	3606683	3829777
485	3613632	3821825
486	3620499	3813791
487	3628652	3807111
488	3635877	3799455
489	3641807	3790452
490	3650069	3783880
491	3656905	3775829
492	3663340	3767370
493	3668416	3757527
494	3677391	3751681
495	3686242	3745697
496	3694351	3738951
497	3701320	3731050
498	3707605	3722466
499	3714801	3714801
500	3720700	3705847
501	3728116	3698410
502	3735450	3690892
503	3742448	3683044
504	3748787	3674554
505	3756511	3667424
506	3765080	3661113
507	3771791	3652994
508	3779226	3645580
509	3785576	3637122
510	3792740	3629451
511	3799605	3621498
512	3808107	3615104
513	3814999	3607178
514	3822093	3599447
515	3829290	3591815
516	3835775	3583519
517	3842790	3575723
518	3849789	3567916
519	3855999	3559384
520	3861353	3550073
521	3870718	3544450
522	3878784	3537629
523	3884245	3528436
524	3889729	3519279
525	3894148	3509175
526	3902870	3502955
527	3912012	3497102
528	3918290	3488685
529	3925422	3481035
530	3931853	3472766
531	3938587	3464772
532	3945439	3456886
533	3951693	3448481
534	3957828	3439981
535	3964140	3431644
536	3970684	3423513
537	3977391	3415529
538	3984454	3407854
539	3992917	3401374
540	3998421	3392376
541	4005797	3384973
542	4011352	3376037
543	4017790	3367853
544	4022976	3358631
545	4028698	3349870
546	4034395	3341099
547	4040208	3332434
548	4049423	3326575
549	4056693	3319112
550	4063153	3310990
551	4073256	3305831
552	4079649	3297655
553	4085934	3289398
554	4092141	3281086
555	4098028	3272526
556	4104434	3264388
557	4109769	3255408
558	4114830	3246225
559	4120237	3237329
560	4125943	3228679
561	4132764	3220908
562	4139099	3212764
563	4143840	3203394
564	4149836	3195006
565	4155987	3186746
566	4161765	3178209
567	4167189	3169411
568	4172848	3160804
569	4178177	3151958
570	4183672	3143249
571	4189942	3135131
572	4195036	3126144
573	4200953	3117780
574	4207144	3109628
575	4213931	3101921
576	4219725	3093489
577	4225344	3084940
578	4231388	3076709
579	4236579	3067867
580	4242185	3059338
581	4247600	3050682
582	4253752	3042563
583	4259316	3034033
584	4265378	3025867
585	4271238	3017564
586	4277291	3009406
587	4284030	3001735
588	4289601	2993253
589	4296973	2986032
590	4302725	2977690
591	4308710	2969516
592	4313868	2960783
593	4320984	2953400
594	4326493	2944923
595	4333091	2937195
596	4340325	2929901
597	4347112	2922306
598	4354233	2914937
599	4361359	2907573
600	4368803	2900420
601	4376436	2893391
602	4382763	2885500
603	4390120	2878290
604	4402408	2874299
605	4412053	2868562
606	4424667	2864735
607	4435294	2859597
608	4445237	2854003
609	4456415	2849183
610	4466456	2843619
611	4476784	2838222
612	4489118	2834076
613	4500482	2829293
614	4510694	2823768
615	4521191	2818404
616	4529228	2811498
617	4537109	2804491
618	4546808	2798601
619	4555196	2791894
620	4564595	2785799
621	4574901	2780245
622	4585142	2774636
623	4595174	2768887
624	4602273	2761363
625	4610520	2754528
626	4619727	2748258
627	4628437	2741686
628	4639322	2736388
629	4649956	2730926
630	4659262	2724671
631	4667720	2717913
632	4675274	2710625
633	4683514	2703732
634	4671438	2685157
635	4679304	2678092
1411	1468
886	11419	1454
887	11429	1441
888	11443	1428
889	11455	1415
890	11478	1404
891	11490	1391
892	11502	1378
893	11511	1364
894	11526	1352
895	11539	1339
896	11551	1326
897	11561	1313
898	11571	1300
899	11582	1286
900	11589	1273
901	11601	1260
902	11614	1247
903	11624	1234
904	11631	1221
905	11638	1207
906	11646	1194
907	11654	1180
908	11674	1168
909	11687	1155
910	11697	1142
911	11713	1130
912	11728	1117
913	11747	1105
914	11771	1093
915	11787	1080
916	11803	1068
917	11820	1055
918	11835	1043
919	11844	1029
920	11853	1016
921	11861	1003
922	11870	990
923	11879	977
924	11889	963
925	11898	950
926	11906	937
927	11920	924
928	11934	912
929	11948	899
930	11964	886
931	11978	873
932	11994	861
933	12005	848
934	12019	835
935	12036	823
936	12063	811
937	12078	798
938	12092	785
939	12105	772
940	12115	759
941	12126	746
942	12140	733
943	12155	721
944	12168	708
945	12177	695
946	12185	681
947	12203	669
948	12219	656
949	12233	643
950	12244	630
951	12252	617
952	12262	604
953	12270	591
954	12288	579
955	12295	565
956	12303	552
957	12311	539
958	12318	526
959	12331	513
960	12344	500
961	12357	488
962	12370	475
963	12386	462
964	12405	449
965	12420	437
966	12436	424
967	12453	411
968	12467	398
969	12478	385
970	12487	372
971	12497	360
972	12509	347
973	12520	334
974	12540	321
975	12559	308
976	12574	296
977	12591	283
978	12608	270
979	12623	257
980	12638	244
981	12653	231
982	12665	219
983	12681	206
984	12694	193
985	12710	180
986	12723	167
987	12737	154
988	12750	141
989	12764	128
990	12784	116
991	12796	103
992	12807	90
993	12831	77
994	12842	64
995	12854	51
996	12864	38
997	12875	25
998	12887	12
999	12902	0
