iter	RMSE
116	0.1139798901
117	0.1136787492
118	0.1133018929
119	0.1129013042
120	0.1126579343
121	0.1123866784
122	0.1120302609
123	0.1117354718
124	0.1113541068
125	0.1110827499
126	0.1108226938
127	0.1105575675
128	0.1102362336
129	0.1099669776
130	0.1096602177
131	0.1093230001
132	0.1090286033
133	0.1087526209
134	0.1084762032
135	0.1080530225
136	0.1077964772
137	0.107561386
138	0.1073199655
139	0.1070424751
140	0.1067773984
141	0.1064572333
142	0.1062119018
143	0.1059072311
144	0.1058222135
145	0.1056102434
146	0.1052704361
147	0.1050489116
148	0.1048019975
149	0.1045501629
150	0.1043741947
151	0.1040960279
152	0.1038600167
153	0.1035389046
154	0.1033059046
155	0.1030912431
156	0.1027327141
157	0.1024761358
158	0.1022791353
159	0.1020145563
160	0.1018215602
161	0.1015007954
162	0.1013110586
163	0.1010603819
164	0.1008016453
165	0.1005619721
166	0.1003343339
167	0.1000806116
168	0.0998762083
169	0.09966702092
170	0.09944536861
171	0.09919926138
172	0.099042317
173	0.09888207351
174	0.0984961463
175	0.09832086317
176	0.09818254245
177	0.09787238391
178	0.09771953019
179	0.0975141891
180	0.09730676875
181	0.09706528694
182	0.09685071746
183	0.09655437766
184	0.09631451528
185	0.09610804468
186	0.09593587845
187	0.09575725056
188	0.09563050057
189	0.09541845028
190	0.0952443581
191	0.09507010243
192	0.09486485226
193	0.0945765879
194	0.09439730529
195	0.09427456569
196	0.09417788326
197	0.09382046935
198	0.09361090584
199	0.09343957834
200	0.09331169517
201	0.0931417364
202	0.09295070082
203	0.09280949461
204	0.09263807196
205	0.09249472714
206	0.09224640428
207	0.09206032773
208	0.09185258969
209	0.09162895782
210	0.09141172315
211	0.09121684588
212	0.0910681364
213	0.09087383906
214	0.09059038024
215	0.09043176331
216	0.09021914582
217	0.09007120939
218	0.08995475249
219	0.0897627517
220	0.08952612261
221	0.08940509061
222	0.08924036764
223	0.08911601253
224	0.08897913256
225	0.08887040658
226	0.08869964989
227	0.08853768257
228	0.08838455142
229	0.0881581525
230	0.08804489607
231	0.08785423377
232	0.08775097371
233	0.08759423952
234	0.0874191061
235	0.0872101281
236	0.08704023872
237	0.08685233469
238	0.08668832594
239	0.08658432324
240	0.08647039331
241	0.08631703992
242	0.08618326462
243	0.08605895716
244	0.08582708597
245	0.08564489585
246	0.08550248038
247	0.08538124019
248	0.08520329399
249	0.08513632945
250	0.08492130786
251	0.08474866015
252	0.08457996029
253	0.08446535301
254	0.08426949816
255	0.08420236127
256	0.08403630239
257	0.08389896155
258	0.08374841971
259	0.08353130831
260	0.08335771606
261	0.08321124692
262	0.08294880381
263	0.082770397
264	0.08257344803
265	0.08241998347
266	0.08234027748
267	0.08223448963
268	0.08211143169
269	0.08196844622
270	0.08187048445
271	0.0817149737
272	0.08156337846
273	0.08136382319
274	0.08121464302
275	0.08107008379
276	0.08088603886
277	0.08073831979
278	0.08052737462
279	0.08043879623
280	0.08029054494
281	0.08015990862
282	0.08002782933
283	0.0799416766
284	0.07977966931
285	0.07961780977
286	0.07940354439
287	0.07932608134
288	0.07920626399
289	0.07906706253
290	0.07890628207
291	0.07863269696
292	0.07851037824
293	0.07841799098
294	0.07823264457
295	0.07811409595
296	0.0780273341
297	0.07792181957
298	0.07783485429
299	0.07770784591
300	0.07753781203
301	0.077390369
302	0.07726907733
303	0.0772068801
304	0.07706033253
305	0.07696829753
306	0.07685344033
307	0.07678830779
308	0.07655987253
309	0.0764387041
310	0.07636520072
311	0.07623595271
312	0.07606508865
313	0.07595840922
314	0.07580303617
315	0.07568842945
316	0.0756264954
317	0.07554978448
318	0.07548311475
319	0.07541967901
320	0.07534992451
321	0.07524150163
322	0.07509461299
323	0.07501242878
324	0.07497319654
325	0.07492897104
326	0.07483071025
327	0.07471891163
328	0.07456755033
329	0.07454203378
330	0.07434718419
331	0.07432256204
332	0.0742997716
333	0.07417850963
334	0.07396957937
335	0.07394569472
336	0.07379511354
337	0.07362150703
338	0.07357367344
339	0.07355555335
340	0.07353340386
341	0.07334987274
342	0.07315252232
343	0.07312942081
344	0.07302149509
345	0.07291456627
346	0.07283457446
347	0.07275826806
348	0.07274089023
349	0.07271915397
350	0.07250353006
351	0.0724318739
352	0.07232279137
353	0.07212247477
354	0.07194208101
355	0.07186069665
356	0.07176563116
357	0.07166763942
358	0.07159360636
359	0.07152898656
360	0.07145742125
361	0.07133716767
362	0.07122229299
363	0.07120742044
364	0.07109204702
365	0.07100294135
366	0.07098279891
367	0.070833319
368	0.07074492526
369	0.07066740244
370	0.07055365715
371	0.07042068347
372	0.07031906305
373	0.07016651005
374	0.07005464209
375	0.07003573847
376	0.06993500205
377	0.06983582017
378	0.06972985751
379	0.06964865256
380	0.069541067
381	0.06952784373
382	0.069503302
383	0.06939645709
384	0.06935372559
385	0.06924682601
386	0.0691048132
387	0.06894003469
388	0.06884116891
389	0.06882897218
390	0.0687760521
391	0.06872246213
392	0.06856473126
393	0.06855200366
394	0.06843896911
395	0.06830993659
396	0.06829627407
397	0.06818713468
398	0.06816766643
399	0.06795270387
400	0.06778307785
401	0.06772603594
402	0.06767076194
403	0.06751048957
404	0.06735453475
405	0.06725906648
406	0.06716654603
407	0.06703929174
408	0.06693088604
409	0.06684605624
410	0.06673596805
411	0.06666448275
412	0.06665066639
413	0.06655306385
414	0.06645742698
415	0.06639347721
416	0.0663225653
417	0.06626651404
418	0.06618063543
419	0.06610699553
420	0.06601741902
421	0.06595942397
422	0.06585016227
423	0.06569757308
424	0.06556849887
425	0.06550803173
426	0.06540040423
427	0.06528846281
428	0.06522747922
429	0.06504782792
430	0.0649701684
431	0.06491972305
432	0.06490468424
433	0.06482867589
434	0.06468792264
435	0.06461952093
436	0.06449937736
437	0.06438569104
438	0.064295999
439	0.06425173523
440	0.06417895348
441	0.06416793964
442	0.06411759541
443	0.06406684346
444	0.06405527878
445	0.06392448162
446	0.06384073225
447	0.06380002594
448	0.06376100747
449	0.06365152785
450	0.06364134523
451	0.06353116159
452	0.06349008942
453	0.06338605855
454	0.06323393198
455	0.06313699815
456	0.06304497061
457	0.06296960694
458	0.06287655236
459	0.06277452888
460	0.06267923629
461	0.06259740972
462	0.06252144003
463	0.06242196245
464	0.06231858327
465	0.06230829006
466	0.06224260798
467	0.06217506792
468	0.06208208954
469	0.06197854516
470	0.06191352132
471	0.06184492333
472	0.06172613649
473	0.06162104339
474	0.06152389673
475	0.06144373913
476	0.06139278033
477	0.06121503861
478	0.0611395963
479	0.06105074259
480	0.06102362789
481	0.0609394991
482	0.06082454881
483	0.06080085823
484	0.06070454145
485	0.06058284525
486	0.06047879451
487	0.06034754117
488	0.06031311242
489	0.06030375079
490	0.06029125515
491	0.06017800529
492	0.06016756386
493	0.06008396006
494	0.06007423454
495	0.05996861715
496	0.05992616427
497	0.05987296108
498	0.0598643491
499	0.05976529114
500	0.05975012854
501	0.05964462244
502	0.05963555883
503	0.05962674215
504	0.05961717699
505	0.05948159216
506	0.05939445311
507	0.05930699762
508	0.05918502448
509	0.05909992344
510	0.05896816585
511	0.05896105487
512	0.05889934361
513	0.0588894003
514	0.05888223473
515	0.05886702078
516	0.05884321512
517	0.05879634155
518	0.05878845942
519	0.05871932782
520	0.05864454157
521	0.05859377082
522	0.05858700213
523	0.05857989599
524	0.05841445555
525	0.05840419866
526	0.0583115586
527	0.05830466626
528	0.05828965584
529	0.05821097945
530	0.0581565103
531	0.05810427742
532	0.05809288888
533	0.05808706582
534	0.05798794307
535	0.05795477986
536	0.05786910957
537	0.05780519409
538	0.057715562
539	0.05764876108
540	0.05755768774
541	0.05745049848
542	0.05742336384
543	0.05731450981
544	0.05723963856
545	0.05723352355
546	0.05715271202
547	0.05706080245
548	0.05705417902
549	0.05698990287
550	0.05695403367
551	0.05688090306
552	0.05683655787
553	0.05676244866
554	0.05666888976
555	0.05660410084
556	0.0565745935
557	0.05648361706
558	0.0564203677
559	0.05634206861
560	0.05633563529
561	0.0563263764
562	0.0562243774
563	0.05621904467
564	0.05616976545
565	0.05608741136
566	0.05597307542
567	0.05585976936
568	0.0557829347
569	0.05574433339
570	0.05569298706
571	0.05556533938
572	0.05551573659
573	0.05549017636
574	0.05538208127
575	0.05532998932
576	0.05526660301
577	0.05518515884
578	0.05511534828
579	0.05504377756
580	0.05497379808
581	0.05486429887
582	0.05485830729
583	0.05476217647
584	0.05472490896
585	0.05468463624
586	0.05456267016
587	0.05442956584
588	0.05437824873
589	0.0543715508
590	0.05432771624
591	0.05424353275
592	0.05423652569
593	0.05417918382
594	0.05417368238
595	0.05408268606
596	0.05401493097
597	0.05396678301
598	0.05386863982
599	0.05386163995
600	0.0538232542
601	0.05379184328
602	0.0537478653
603	0.05366165018
604	0.0536553234
605	0.05355125217
606	0.05347318037
607	0.0533743615
608	0.05328029522
609	0.05321915037
610	0.0531462299
611	0.05304530391
612	0.05296811729
613	0.05291549264
614	0.05290666902
615	0.05289812389
616	0.0528936846
617	0.05285860125
618	0.05277063272
619	0.05269490596
620	0.05262228358
621	0.05259645663
622	0.05249477331
623	0.05240758308
624	0.05238326252
625	0.05232891423
626	0.05228176577
627	0.05219686047
628	0.05213670094
629	0.05211598977
630	0.05211088051
631	0.05204635054
632	0.05199853677
633	0.0518992257
634	0.05189424163
635	0.05188870021
636	0.0518840666
637	0.05177132266
638	0.0517247737
639	0.05172071358
640	0.05169967464
641	0.05160596585
642	0.05152303714
643	0.05151915685
644	0.05145835134
645	0.05140160679
646	0.05136211708
647	0.05131442659
648	0.05125720549
649	0.05119344495
650	0.05113717649
651	0.05106705957
652	0.05106254037
653	0.05098484649
654	0.05093934902
655	0.0508302051
656	0.05075112581
657	0.05069151117
658	0.05061661748
659	0.05057493806
660	0.05050638442
661	0.0504377165
662	0.05032515152
663	0.05027406455
664	0.05021345863
665	0.05013958973
666	0.05012150837
667	0.05003853341
668	0.04993143332
669	0.04987798062
670	0.04981744427
671	0.0498018928
672	0.04979683082
673	0.04973250973
674	0.04962880593
675	0.04952919232
676	0.04946717934
677	0.04935921919
678	0.0493126776
679	0.04924294738
680	0.04919344335
681	0.04914490021
682	0.04910000564
683	0.04903249289
684	0.04896509876
685	0.04888122843
686	0.04885851897
687	0.04880598168
688	0.04871324341
689	0.04866055494
690	0.04860150647
691	0.04859674908
692	0.04859344726
693	0.0485061791
694	0.04843764531
695	0.04838674815
696	0.04838239076
697	0.04832424456
698	0.04826311501
699	0.04824645564
700	0.04818552365
701	0.04815724773
702	0.04815277689
703	0.04805566825
704	0.04796474158
705	0.04791193756
706	0.04787261164
707	0.04778391242
708	0.04771953607
709	0.04767410451
710	0.04757866856
711	0.04751504867
712	0.04751096939
713	0.04744566027
714	0.0473739135
715	0.04731771315
716	0.04725798059
717	0.04725380457
718	0.04720658609
719	0.04716587671
720	0.04709968687
721	0.04702428708
722	0.04695576332
723	0.04684824849
724	0.04676086746
725	0.04670727316
726	0.04663886305
727	0.04658581668
728	0.0465321393
729	0.04645621752
730	0.04636601364
731	0.0463202548
732	0.04631692952
733	0.04622329032
734	0.04618632747
735	0.04607892494
736	0.04599244262
737	0.04591434477
738	0.04582456044
739	0.04575798008
740	0.04569793032
741	0.0456243902
742	0.04557547209
743	0.04550952731
744	0.04544548375
745	0.04536820394
746	0.04532330781
747	0.04527410788
748	0.04525058375
749	0.04523279352
750	0.04516234502
751	0.04511185364
752	0.04501410473
753	0.04494501476
754	0.04489589896
755	0.04482232646
756	0.04481854454
757	0.04480217463
758	0.04473026057
759	0.04465097552
760	0.04462988206
761	0.04457069271
762	0.04452047346
763	0.04449251776
764	0.04440803976
765	0.04435771135
766	0.04427576197
767	0.04422044017
768	0.04416997599
769	0.04414640079
770	0.04406034246
771	0.04402506396
772	0.04397831421
773	0.04392422031
774	0.04384273835
775	0.04383101126
776	0.04376302184
777	0.04371986753
778	0.04366982184
779	0.04362646256
780	0.04357500688
781	0.04356478376
782	0.04352107519
783	0.04348483255
784	0.0434813238
785	0.04343969424
786	0.04343652949
787	0.04335284468
788	0.04328437744
789	0.0431876462
790	0.04313146078
791	0.04308489873
792	0.04302940206
793	0.04298025722
794	0.04289761964
795	0.0428605873
796	0.04285238479
797	0.04279651101
798	0.04272760544
799	0.04270987857
800	0.0426862325
801	0.04264186844
802	0.04255948872
803	0.04248360131
804	0.04246851695
805	0.04241792532
806	0.04234456082
807	0.04230984986
808	0.04224228521
809	0.04223020023
810	0.0421600067
811	0.04215756878
812	0.04215361181
813	0.04214111676
814	0.04209790992
815	0.04202347269
816	0.04199575859
817	0.04195894361
818	0.04190416148
819	0.04185888923
820	0.04185323745
821	0.04178926723
822	0.04177863105
823	0.04169415739
824	0.04164471327
825	0.0415693865
826	0.04152379115
827	0.04152075081
828	0.04147212682
829	0.04140848364
830	0.04137774744
831	0.04131427931
832	0.04128082142
833	0.04123673355
834	0.04116396626
835	0.04111253554
836	0.04110478432
837	0.04104575281
838	0.0410298196
839	0.04095689242
840	0.04093930076
841	0.04090022931
842	0.04081668451
843	0.04081361447
844	0.04079520554
845	0.04075391203
846	0.04069727206
847	0.04063550522
848	0.04055466243
849	0.0404999715
850	0.04045365217
851	0.04038044527
852	0.04031627692
853	0.04029452071
854	0.04024555282
855	0.04022299775
856	0.04015764007
857	0.04010981266
858	0.04009304447
859	0.04004489616
860	0.04000098253
861	0.03995767598
862	0.03991925017
863	0.03988701015
864	0.03983894447
865	0.03979769731
866	0.03972376745
867	0.03971426708
868	0.03966529699
869	0.0396532645
870	0.03958774592
871	0.03951180742
872	0.03948789511
873	0.0394359365
874	0.03943305557
875	0.03942702758
876	0.03937209308
877	0.03936604488
878	0.03931162517
879	0.03926579802
880	0.03921619841
881	0.03920053463
882	0.03913475826
883	0.03909594855
884	0.03906553844
885	0.03903019773
886	0.03898092304
887	0.03893606133
888	0.03884681954
889	0.03877625665
890	0.03871415493
891	0.03866320047
892	0.03864029958
893	0.0386381556
894	0.03860846645
895	0.03856625651
896	0.0385490485
897	0.03851767913
898	0.03846109019
899	0.03841770788
900	0.03834408271
901	0.03829759149
902	0.03820593334
903	0.03814751688
904	0.03812306675
905	0.03805107687
906	0.03798552959
907	0.03792754521
908	0.03785956487
909	0.03781756145
910	0.03777811121
911	0.03772797366
912	0.03768760569
913	0.03763074382
914	0.03757709138
915	0.03752494463
916	0.03749661919
917	0.03744940448
918	0.03740125169
919	0.03739545449
920	0.0373835646
921	0.03734376499
922	0.03732431427
923	0.0373146783
924	0.03727110877
925	0.03723369262
926	0.03718739174
927	0.03714467311
928	0.03710904465
929	0.03704002231
930	0.03700304933
931	0.03693031441
932	0.03688510347
933	0.03686155034
934	0.03681152157
935	0.03677537793
936	0.03672633191
937	0.03669966136
938	0.03663842346
939	0.03657866559
940	0.03651457124
941	0.03650317106
942	0.0364422349
943	0.03642384979
944	0.03637855409
945	0.03635889617
946	0.03631880229
947	0.03627719131
948	0.03622449094
949	0.03617574478
950	0.03615501594
951	0.03613664798
952	0.03613472072
953	0.0361084019
954	0.03605236832
955	0.0360139176
956	0.03597192947
957	0.03592866579
958	0.03591575231
959	0.03590449453
960	0.0358428264
961	0.03578931611
962	0.03576710987
963	0.03573357691
964	0.0356779768
965	0.03562614634
966	0.0355848101
967	0.03556351556
968	0.03548765169
969	0.03544557516
970	0.03536137628
971	0.03532834599
972	0.03530331479
973	0.03527591085
974	0.03523443954
975	0.03521073856
976	0.03517941972
977	0.03514563209
978	0.03509121288
979	0.03507438748
980	0.03504887905
981	0.03500830025
982	0.03499600077
983	0.03499389546
984	0.03497308227
985	0.03494665396
986	0.03490217961
987	0.03489459733
988	0.03485259267
989	0.03482475932
990	0.0348043766
991	0.03477353533
992	0.03471307265
993	0.03467787103
994	0.03462825446
995	0.03457737206
996	0.0345480423
997	0.03452326678
998	0.03449241744
999	0.03445501251
